v101_locus,zl_locus,zl_descriptor,zl_hand,zl_language,distance
f23r.1,f23r.1,@P0,1,A,0.044
f23r.2,f23r.2,+P0,1,A,0.063
f23r.3,f23r.3,+P0,1,A,0.129
f23r.4,f23r.4,+P0,1,A,0.031
f23r.5,f23r.5,+P0,1,A,0.02
f23r.6,f23r.6,+P0,1,A,0.016
f23r.7,f23r.7,+P0,1,A,0.017
f23r.8,f23r.8,+P0,1,A,0.0
f23r.9,f23r.9,+P0,1,A,0.057
f23r.10,f23r.10,+P0,1,A,0.0
f23r.11,f23r.11,+P0,1,A,0.083
f23v.1,f23v.1,@P0,1,A,0.034
f23v.2,f23v.2,+P0,1,A,0.02
f23v.3,f23v.3,+P0,1,A,0.073
f23v.4,f23v.4,+P0,1,A,0.0
f23v.5,f23v.5,+P0,1,A,0.0
f23v.6,f23v.6,+P0,1,A,0.0
f23v.7,f23v.7,+P0,1,A,0.023
f23v.8,f23v.8,+P0,1,A,0.047
f23v.9,f23v.9,+P0,1,A,0.025
f23v.10,f23v.10,+P0,1,A,0.028
f23v.11,f23v.11,+P0,1,A,0.0
f23v.12,f23v.12,+P0,1,A,0.048
f24r.1,f24r.1,@P0,1,A,0.026
f24r.2,f24r.2,+P0,1,A,0.091
f24r.3,f24r.3,+P0,1,A,0.034
f24r.4,f24r.4,+P0,1,A,0.0
f24r.5,f24r.5,+P0,1,A,0.031
f24r.6,f24r.6,+P0,1,A,0.0
f24r.7,f24r.7,+P0,1,A,0.143
f24r.8,f24r.8,+P0,1,A,0.0
f24r.9,f24r.9,+P0,1,A,0.065
f24r.10,f24r.10,+P0,1,A,0.031
f24r.11,f24r.11,+P0,1,A,0.032
f24r.12,f24r.12,+P0,1,A,0.038
f24r.13,f24r.13,+P0,1,A,0.04
f24r.14,f24r.14,+P0,1,A,0.0
f24r.15,f24r.15,+P0,1,A,0.0
f24r.16,f24r.16,+P0,1,A,0.0
f24r.17,f24r.17,+P0,1,A,0.04
f24r.18,f24r.18,+P0,1,A,0.0
f24r.19,f24r.19,+P0,1,A,0.0
f24r.20,f24r.20,+Pc,1,A,0.0
f24v.1,f24v.1,@P0,1,A,0.123
f24v.2,f24v.2,+P0,1,A,0.017
f24v.3,f24v.3,+P0,1,A,0.083
f24v.4,f24v.4,+P0,1,A,0.0
f24v.5,f24v.5,+P0,1,A,0.048
f24v.6,f24v.6,+P0,1,A,0.2
